state_abbreviation,magnitude_estimated,severe
OK,False,False
NC,False,True
KY,False,False
KY,False,False
MS,False,True
PA,False,True
IL,False,True
IL,False,True
AR,False,False
IL,False,False
AR,False,True
MO,False,True
IL,False,False
TX,False,True
MO,False,True
IL,False,True
OH,False,True
TX,False,False
TX,False,True
TX,False,True
TX,False,True
TX,False,True
TX,False,False
TX,False,False
TX,False,True
MS,False,True
MS,False,False
TX,False,True
AR,False,False
LA,False,True
LA,False,True
LA,False,True
AR,False,False
LA,False,False
TN,False,True
TN,False,True
OK,False,False
FL,False,False
LA,False,True
LA,False,False
LA,False,False
AR,False,True
AR,False,True
AR,False,True
AR,False,True
AR,False,True
OK,False,False
MS,False,True
LA,False,True
MS,False,False
MS,False,True
MS,False,True
LA,False,False
MS,False,False
MS,False,True
TN,False,False
IL,False,False
MS,False,False
AL,False,True
AL,False,False
LA,False,False
SC,False,False
OK,False,True
KS,False,False
TX,False,True
OK,False,True
OK,False,False
MS,False,False
TX,False,False
AR,False,True
OK,False,False
AR,False,False
OK,False,False
WY,False,False
OK,False,False
NC,False,False
NC,False,False
NC,False,False
LA,False,False
TX,False,False
NC,False,False
NC,False,True
TX,False,False
FL,False,False
FL,False,False
KS,False,False
OK,False,True
NE,False,False
KS,False,True
KS,False,False
KS,False,False
OK,False,False
KS,False,False
KS,False,True
KS,False,False
OK,False,True
TX,False,False
OK,False,False
TX,False,False
LA,False,True
LA,False,False
GA,False,False
NC,False,False
LA,False,False
MS,False,False
MS,True,False
LA,False,False
LA,False,True
LA,False,True
LA,False,False
LA,False,True
LA,False,True
KS,False,False
TX,False,True
IA,False,False
OK,False,False
OK,False,False
OK,False,False
KS,False,True
KS,False,True
OK,False,False
OK,False,True
OK,False,False
SD,False,False
FL,False,False
KS,False,False
KS,False,True
IA,False,False
KS,False,True
KS,False,True
KS,False,False
NE,False,True
KS,True,False
OK,False,False
IL,False,False
ND,False,False
NE,False,True
WY,False,False
ND,False,False
MO,False,False
MN,False,True
IA,False,True
KS,False,False
TX,False,False
NE,False,False
KS,False,False
WI,True,False
WI,False,False
WI,False,True
WI,False,True
KS,False,False
WI,False,False
MS,False,True
GA,False,False
GA,False,True
TX,False,True
TX,False,True
WY,False,False
GA,False,False
KS,False,True
MO,False,False
OK,False,False
NM,False,False
CT,False,False
CT,False,True
NE,False,True
IL,False,False
KS,False,False
IN,False,False
OH,False,False
OH,False,True
MO,False,False
IN,False,False
CO,True,False
PA,False,False
NC,False,False
NC,False,False
KS,False,False
KS,False,True
IA,False,False
KS,False,False
IN,True,False
PA,False,True
PA,False,False
KS,False,False
MD,False,False
AR,False,True
KS,False,False
PA,False,False
FL,False,False
FL,True,False
NM,False,False
CO,False,True
KS,False,False
KS,False,False
KS,False,False
MO,False,False
WV,False,False
OK,False,True
OK,False,False
NE,False,False
OK,False,False
AR,False,True
IL,False,False
MO,False,True
IL,False,True
IN,False,False
KY,False,True
TN,False,False
AL,False,True
AL,False,True
AL,False,True
GA,False,False
VA,False,False
LA,False,False
FL,False,False
MA,False,False
FL,False,False
FL,False,False
FL,False,False
MS,True,False
FL,False,False
OR,False,False
IL,False,True
MS,True,False
CA,False,False
LA,False,True
OK,False,True
OK,False,False
AR,False,True
MS,False,True
MS,False,False
AL,False,True
KY,False,False
VA,False,False
LA,False,False
LA,False,False
FL,False,False
TX,False,False
IN,False,True
PA,False,False
KS,True,False
KS,True,False
TX,False,False
KS,False,False
MS,False,False
LA,False,True
LA,False,True
MS,False,True
OK,False,False
OK,False,False
OK,False,False
KS,False,False
KS,False,False
KS,False,False
OK,False,False
KS,False,False
OK,False,True
OH,False,True
NJ,False,True
KS,False,False
NE,False,False
OK,False,False
OK,False,False
OK,False,False
KS,True,False
OK,False,False
OK,False,True
OK,False,True
PA,False,True
VA,False,False
NE,False,False
KS,False,False
KS,False,False
OK,False,False
OK,False,False
KS,False,False
KS,False,True
TX,False,False
OK,False,False
CO,True,False
TX,False,True
OK,False,False
OK,False,False
OK,False,False
OK,False,False
OK,False,False
OK,False,False
CO,False,False
CO,False,False
CO,False,False
KS,False,False
KS,False,False
KS,False,False
KS,False,False
KS,False,False
GA,False,False
GA,False,False
TX,False,True
KS,False,False
KS,False,True
KS,False,False
MO,False,False
FL,False,True
FL,True,False
NE,False,True
NE,False,False
KS,False,False
KS,False,False
KS,False,False
KS,False,False
KS,True,False
KS,True,False
KS,True,False
KS,True,False
TX,False,False
KS,False,False
KS,False,False
KS,False,False
MI,False,False
KS,False,False
KS,False,False
TX,False,False
OK,False,False
OK,False,True
KS,False,False
VA,False,True
NC,False,False
ND,True,False
CO,False,False
KS,False,False
TX,False,True
TX,False,False
KS,True,False
KS,False,False
KS,True,False
KS,True,False
CO,True,False
IA,False,False
MN,False,True
NE,False,False
KS,True,False
WI,False,False
KS,False,False
KS,False,False
OK,False,False
KS,True,False
OK,False,False
IN,False,True
KS,False,False
KS,True,False
OH,False,False
KS,False,True
KS,True,True
SC,False,False
MN,False,False
NE,False,True
IA,False,True
CO,False,True
WV,False,True
MI,False,False
KS,False,True
KS,False,False
OH,False,False
VA,False,False
IL,False,True
IL,False,True
PA,False,False
MI,False,True
KS,False,False
IA,False,True
NM,False,False
OK,False,False
CO,False,True
KS,False,True
KS,False,False
TX,True,False
TX,True,False
KS,False,True
KS,True,False
KS,True,False
KS,True,False
KS,True,False
KS,False,False
TX,False,True
TX,False,False
TX,False,False
OK,False,False
KS,False,False
OK,False,False
OK,False,False
OK,False,True
OK,False,True
AL,False,True
KS,False,False
KS,False,False
MO,False,False
OK,False,False
OK,False,False
OK,False,False
MS,True,False
NC,False,False
NE,False,False
OK,False,False
OK,False,False
OK,False,False
IA,False,True
SD,False,True
MN,False,True
PA,False,False
MI,False,False
KS,True,False
FL,False,False
OK,False,False
TX,False,False
WI,False,False
MO,False,True
KS,True,False
NC,False,False
NE,False,False
KS,False,False
SD,False,True
MO,False,False
IN,False,False
MO,False,False
OK,False,True
NM,False,False
KS,True,False
KS,True,False
KS,True,False
ND,False,False
MI,False,False
MI,False,False
MI,False,False
CT,False,False
MA,False,False
NH,False,False
CT,False,True
CT,False,True
LA,False,False
KS,True,False
KS,True,False
KS,False,False
IA,False,False
OK,False,False
KS,True,False
KS,True,False
