year,state_fips,track_width_yards,injuries,fatalities,property_loss,track_width_yards,start_latitude,start_longitude,track_length_miles,severe
2011.0,1.0,500.0,0.0,0.0,102000.0,500.0,31.3645,-87.8856,3.28,False
2004.0,8.0,50.0,0.0,0.0,50000.0,50.0,39.92,-104.78,0.1,False
2019.0,19.0,100.0,0.0,0.0,50000.0,100.0,40.667,-91.9983,7.27,False
2011.0,27.0,300.0,0.0,0.0,250000.0,300.0,44.5412,-95.5519,2.61,False
1994.0,56.0,10.0,0.0,0.0,50000.0,10.0,41.92,-104.3,0.1,False
2002.0,21.0,100.0,0.0,0.0,100000.0,100.0,37.32,-86.25,3.0,False
1961.0,48.0,30.0,0.0,0.0,500000.0,30.0,33.38,-99.85,0.7,False
1980.0,6.0,10.0,0.0,0.0,50000.0,10.0,40.13,-122.22,0.1,False
2001.0,48.0,200.0,0.0,0.0,200000.0,200.0,29.05,-99.3,3.0,False
1954.0,18.0,10.0,0.0,0.0,50000.0,10.0,40.18,-85.37,0.1,False
2000.0,48.0,50.0,0.0,0.0,10000.0,50.0,35.15,-101.75,0.4,False
2018.0,30.0,200.0,0.0,0.0,50000.0,200.0,45.3753,-104.0813,6.6,False
1984.0,26.0,10.0,0.0,0.0,50000.0,10.0,42.92,-84.57,0.1,False
1958.0,48.0,50.0,0.0,0.0,500000.0,50.0,33.2,-96.58,15.4,False
2012.0,1.0,50.0,0.0,0.0,50000.0,50.0,31.7206,-86.272,0.18,False
1965.0,18.0,10.0,0.0,0.0,50000.0,10.0,41.15,-85.42,2.7,False
1995.0,12.0,10.0,0.0,0.0,5000.0,10.0,30.4,-86.87,0.1,False
2007.0,20.0,150.0,0.0,0.0,50000.0,150.0,38.16,-98.69,5.7,False
1973.0,9.0,10.0,0.0,0.0,50000.0,10.0,41.73,-72.73,0.1,False
1963.0,48.0,33.0,0.0,0.0,50000.0,33.0,32.58,-96.72,0.2,False
2001.0,48.0,50.0,0.0,0.0,50000.0,50.0,33.95,-101.07,0.2,False
2003.0,37.0,30.0,0.0,0.0,2000.0,30.0,35.27,-77.12,0.3,False
2009.0,56.0,25.0,0.0,0.0,50000.0,25.0,41.5891,-104.115,3.95,False
2015.0,17.0,10.0,0.0,0.0,50000.0,10.0,40.8716,-89.6204,0.15,False
1990.0,21.0,50.0,0.0,0.0,50000.0,50.0,37.1,-83.75,1.0,False
1976.0,26.0,100.0,10.0,0.0,50.0,100.0,44.13,-84.22,11.4,True
2007.0,5.0,150.0,0.0,0.0,125000.0,150.0,34.0,-91.35,8.5,False
1973.0,40.0,50.0,0.0,0.0,50000.0,50.0,33.88,-94.95,0.5,False
2017.0,1.0,150.0,0.0,0.0,50000.0,150.0,32.5626,-85.3572,1.07,False
1978.0,29.0,100.0,0.0,0.0,50000.0,100.0,38.42,-93.03,2.0,False
1991.0,55.0,73.0,0.0,0.0,500000.0,73.0,42.67,-89.02,4.0,False
2020.0,55.0,50.0,0.0,0.0,12000.0,50.0,42.5568,-88.4463,3.29,False
1979.0,12.0,30.0,0.0,0.0,5000.0,30.0,26.47,-80.07,0.1,False
1995.0,20.0,200.0,0.0,0.0,500000.0,200.0,37.47,-99.6,3.0,False
2001.0,48.0,20.0,0.0,0.0,50000.0,20.0,35.38,-101.47,0.1,False
2011.0,28.0,440.0,0.0,0.0,110000.0,440.0,32.6646,-88.8355,11.06,False
2009.0,13.0,100.0,0.0,0.0,5000.0,100.0,33.2615,-82.1822,2.2,False
1953.0,29.0,10.0,0.0,0.0,50000.0,10.0,37.55,-91.92,0.2,False
1972.0,13.0,50.0,0.0,0.0,5000.0,50.0,32.23,-83.4,0.3,False
1977.0,48.0,10.0,0.0,0.0,50000.0,10.0,32.1,-96.38,0.2,False
1996.0,18.0,100.0,0.0,0.0,200000.0,100.0,38.33,-87.25,0.8,False
2008.0,48.0,100.0,0.0,0.0,50000.0,100.0,27.69,-97.38,2.34,False
2013.0,22.0,20.0,0.0,0.0,10000.0,20.0,30.6825,-93.4706,1.04,False
1958.0,20.0,300.0,5.0,15.0,5000000.0,300.0,37.85,-97.02,9.0,True
2009.0,13.0,75.0,0.0,0.0,50000.0,75.0,31.1151,-81.6027,2.14,False
1995.0,40.0,20.0,0.0,0.0,50000.0,20.0,34.88,-99.52,0.1,False
1998.0,40.0,30.0,0.0,0.0,50000.0,30.0,35.1,-96.13,0.6,False
1986.0,1.0,140.0,0.0,0.0,50000.0,140.0,33.97,-87.82,6.8,False
1998.0,42.0,100.0,0.0,0.0,200000.0,100.0,39.88,-75.87,6.0,False
1974.0,55.0,30.0,0.0,0.0,5000.0,30.0,44.32,-89.52,2.5,False
2019.0,17.0,50.0,0.0,0.0,50000.0,50.0,38.3638,-90.1609,0.34,False
2006.0,22.0,50.0,0.0,0.0,50000.0,50.0,30.95,-90.28,0.5,False
2011.0,19.0,300.0,0.0,0.0,50000.0,300.0,41.9018,-95.9681,7.13,False
2008.0,13.0,600.0,0.0,0.0,56000.0,600.0,33.04,-82.23,10.43,False
1995.0,12.0,23.0,0.0,0.0,5000.0,23.0,30.37,-86.67,0.1,False
2002.0,17.0,200.0,1.0,0.0,440000.0,200.0,37.35,-88.72,22.0,True
2002.0,48.0,20.0,0.0,0.0,10000.0,20.0,30.18,-96.6,0.5,False
2022.0,39.0,150.0,0.0,0.0,150000.0,150.0,40.17,-83.7498,5.69,False
1954.0,37.0,100.0,4.0,0.0,500000.0,100.0,35.72,-77.9,0.5,True
1973.0,5.0,67.0,0.0,0.0,50000.0,67.0,33.62,-91.92,11.5,False
2005.0,45.0,75.0,0.0,0.0,10000.0,75.0,34.92,-82.72,8.0,False
2001.0,27.0,25.0,0.0,0.0,100000.0,25.0,48.7,-94.82,0.5,False
1998.0,5.0,50.0,0.0,0.0,50000.0,50.0,36.38,-92.57,0.1,False
2011.0,5.0,75.0,0.0,0.0,350000.0,75.0,34.5614,-94.2533,0.53,False
1979.0,8.0,27.0,0.0,0.0,500.0,27.0,38.82,-104.57,0.5,False
1978.0,48.0,10.0,0.0,0.0,50000.0,10.0,32.17,-99.57,0.1,False
1978.0,20.0,10.0,0.0,0.0,50.0,10.0,38.42,-97.3,0.1,False
1983.0,40.0,40.0,0.0,0.0,500.0,40.0,34.5,-99.13,12.0,False
1992.0,37.0,30.0,3.0,0.0,50000.0,30.0,35.37,-80.57,0.5,True
2000.0,8.0,440.0,0.0,0.0,50000.0,440.0,40.38,-104.25,8.0,False
1984.0,20.0,10.0,0.0,0.0,50000.0,10.0,37.7,-100.87,0.1,False
2013.0,8.0,75.0,0.0,0.0,50000.0,75.0,37.68,-106.01,0.1,False
