timezone,state_abbreviation,magnitude_estimated
America/Chicago,OK,False
America/Chicago,NC,False
America/Chicago,KY,False
America/Chicago,KY,False
America/Chicago,MS,False
America/Chicago,PA,False
America/Chicago,IL,False
America/Chicago,IL,False
America/Chicago,AR,False
America/Chicago,IL,False
America/Chicago,AR,False
America/Chicago,MO,False
America/Chicago,IL,False
America/Chicago,TX,False
America/Chicago,MO,False
America/Chicago,IL,False
America/Chicago,OH,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,MS,False
America/Chicago,MS,False
America/Chicago,TX,False
America/Chicago,AR,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,AR,False
America/Chicago,LA,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,OK,False
America/Chicago,FL,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,OK,False
America/Chicago,MS,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,MS,False
America/Chicago,MS,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,MS,False
America/Chicago,TN,False
America/Chicago,IL,False
America/Chicago,MS,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,LA,False
America/Chicago,SC,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,MS,False
America/Chicago,TX,False
America/Chicago,AR,False
America/Chicago,OK,False
America/Chicago,AR,False
America/Chicago,OK,False
America/Chicago,WY,False
America/Chicago,OK,False
America/Chicago,NC,False
America/Chicago,NC,False
America/Chicago,NC,False
America/Chicago,LA,False
America/Chicago,TX,False
America/Chicago,NC,False
America/Chicago,NC,False
America/Chicago,TX,False
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,GA,False
America/Chicago,NC,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,MS,True
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,IA,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,SD,False
America/Chicago,FL,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,IA,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,NE,False
America/Chicago,KS,True
America/Chicago,OK,False
America/Chicago,IL,False
America/Chicago,ND,False
America/Chicago,NE,False
America/Chicago,WY,False
America/Chicago,ND,False
America/Chicago,MO,False
America/Chicago,MN,False
America/Chicago,IA,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,WI,True
America/Chicago,WI,False
America/Chicago,WI,False
America/Chicago,WI,False
America/Chicago,KS,False
America/Chicago,WI,False
America/Chicago,MS,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,WY,False
America/Chicago,GA,False
America/Chicago,KS,False
America/Chicago,MO,False
America/Chicago,OK,False
America/Chicago,NM,False
America/Chicago,CT,False
America/Chicago,CT,False
America/Chicago,NE,False
America/Chicago,IL,False
America/Chicago,KS,False
America/Chicago,IN,False
America/Chicago,OH,False
America/Chicago,OH,False
America/Chicago,MO,False
America/Chicago,IN,False
America/Chicago,CO,True
America/Chicago,PA,False
America/Chicago,NC,False
America/Chicago,NC,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,IA,False
America/Chicago,KS,False
America/Chicago,IN,True
America/Chicago,PA,False
America/Chicago,PA,False
America/Chicago,KS,False
America/Chicago,MD,False
America/Chicago,AR,False
America/Chicago,KS,False
America/Chicago,PA,False
America/Chicago,FL,False
America/Chicago,FL,True
America/Chicago,NM,False
America/Chicago,CO,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,MO,False
America/Chicago,WV,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,NE,False
America/Chicago,OK,False
America/Chicago,AR,False
America/Chicago,IL,False
America/Chicago,MO,False
America/Chicago,IL,False
America/Chicago,IN,False
America/Chicago,KY,False
America/Chicago,TN,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,GA,False
America/Chicago,VA,False
America/Chicago,LA,False
America/Chicago,FL,False
America/Chicago,MA,False
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,MS,True
America/Chicago,FL,False
America/Chicago,OR,False
America/Chicago,IL,False
America/Chicago,MS,True
America/Chicago,CA,False
America/Chicago,LA,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,AR,False
America/Chicago,MS,False
America/Chicago,MS,False
America/Chicago,AL,False
America/Chicago,KY,False
America/Chicago,VA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,FL,False
America/Chicago,TX,False
America/Chicago,IN,False
America/Chicago,PA,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,TX,False
America/Chicago,KS,False
America/Chicago,MS,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,OH,False
America/Chicago,NJ,False
America/Chicago,KS,False
America/Chicago,NE,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,KS,True
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,PA,False
America/Chicago,VA,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,CO,True
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,CO,False
America/Chicago,CO,False
America/Chicago,CO,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,TX,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,MO,False
America/Chicago,FL,False
America/Chicago,FL,True
America/Chicago,NE,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,TX,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,MI,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,VA,False
America/Chicago,NC,False
America/Chicago,ND,True
America/Chicago,CO,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,KS,True
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,CO,True
America/Chicago,IA,False
America/Chicago,MN,False
America/Chicago,NE,False
America/Chicago,KS,True
America/Chicago,WI,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,KS,True
America/Chicago,OK,False
America/Chicago,IN,False
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,OH,False
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,SC,False
America/Chicago,MN,False
America/Chicago,NE,False
America/Chicago,IA,False
America/Chicago,CO,False
America/Chicago,WV,False
America/Chicago,MI,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,OH,False
America/Chicago,VA,False
America/Chicago,IL,False
America/Chicago,IL,False
America/Chicago,PA,False
America/Chicago,MI,False
America/Chicago,KS,False
America/Chicago,IA,False
America/Chicago,NM,False
America/Chicago,OK,False
America/Chicago,CO,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,TX,True
America/Chicago,TX,True
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,AL,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,MO,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,MS,True
America/Chicago,NC,False
America/Chicago,NE,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,IA,False
America/Chicago,SD,False
America/Chicago,MN,False
America/Chicago,PA,False
America/Chicago,MI,False
America/Chicago,KS,True
America/Chicago,FL,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,WI,False
America/Chicago,MO,False
America/Chicago,KS,True
America/Chicago,NC,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,SD,False
America/Chicago,MO,False
America/Chicago,IN,False
America/Chicago,MO,False
America/Chicago,OK,False
America/Chicago,NM,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,ND,False
America/Chicago,MI,False
America/Chicago,MI,False
America/Chicago,MI,False
America/Chicago,CT,False
America/Chicago,MA,False
America/Chicago,NH,False
America/Chicago,CT,False
America/Chicago,CT,False
America/Chicago,LA,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,False
America/Chicago,IA,False
America/Chicago,OK,False
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,True
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,NE,False
America/Chicago,NC,False
America/Chicago,WI,False
America/Chicago,KS,True
America/Chicago,WI,False
America/Chicago,WI,False
America/Chicago,MI,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,OK,False
America/Chicago,AZ,True
America/Chicago,MO,False
America/Chicago,KS,False
America/Chicago,IA,False
America/Chicago,AR,False
America/Chicago,NC,False
America/Chicago,CA,True
America/Chicago,TX,False
America/Chicago,KY,False
America/Chicago,PA,False
America/Chicago,GA,False
America/Chicago,AL,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,GA,False
America/Chicago,FL,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,FL,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,LA,False
America/Chicago,AR,False
America/Chicago,TN,False
America/Chicago,MO,False
America/Chicago,MS,False
America/Chicago,TN,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,TN,False
America/Chicago,AL,False
America/Chicago,MS,False
America/Chicago,TN,False
America/Chicago,MS,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,LA,False
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,AL,False
America/Chicago,TN,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,TX,False
America/Chicago,LA,False
America/Chicago,GA,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,MO,False
America/Chicago,IL,False
America/Chicago,IL,False
America/Chicago,MO,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,True
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,TN,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,MO,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,MS,True
America/Chicago,MS,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,KY,False
America/Chicago,TN,False
America/Chicago,TN,False
America/Chicago,AL,False
America/Chicago,TX,False
America/Chicago,AR,False
America/Chicago,AL,False
America/Chicago,GA,False
America/Chicago,OH,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,KS,True
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,LA,False
America/Chicago,KS,False
America/Chicago,NE,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,TX,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,AL,False
America/Chicago,FL,False
America/Chicago,NC,False
America/Chicago,VA,False
America/Chicago,VA,False
America/Chicago,MD,False
America/Chicago,PA,False
America/Chicago,PA,False
America/Chicago,MD,False
America/Chicago,MD,False
America/Chicago,PA,False
America/Chicago,NJ,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,NC,False
America/Chicago,SC,False
America/Chicago,GA,False
America/Chicago,NE,False
America/Chicago,CO,False
America/Chicago,LA,False
America/Chicago,NC,False
America/Chicago,KS,True
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,MO,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,IA,False
America/Chicago,FL,False
America/Chicago,TX,False
America/Chicago,IA,False
America/Chicago,OH,False
America/Chicago,IL,False
America/Chicago,NE,False
America/Chicago,FL,False
America/Chicago,NY,False
America/Chicago,MO,False
America/Chicago,WY,False
America/Chicago,CO,False
America/Chicago,NE,False
America/Chicago,IN,False
America/Chicago,ND,True
America/Chicago,ND,False
America/Chicago,SC,False
America/Chicago,FL,False
America/Chicago,OK,False
America/Chicago,ND,False
America/Chicago,NE,False
America/Chicago,AR,False
America/Chicago,KS,False
America/Chicago,ND,True
America/Chicago,OK,False
America/Chicago,KS,False
America/Chicago,MN,False
America/Chicago,IA,False
America/Chicago,SD,False
America/Chicago,MN,False
America/Chicago,WI,False
America/Chicago,SD,False
America/Chicago,MN,False
America/Chicago,KS,False
America/Chicago,CO,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,SD,True
America/Chicago,SD,False
America/Chicago,SD,False
America/Chicago,FL,False
America/Chicago,OK,False
America/Chicago,TN,False
America/Chicago,OK,False
America/Chicago,IA,False
America/Chicago,OK,False
America/Chicago,AR,False
America/Chicago,TX,False
America/Chicago,NE,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,AR,False
America/Chicago,AR,False
America/Chicago,OK,False
America/Chicago,MN,False
America/Chicago,MO,False
America/Chicago,IL,False
America/Chicago,PA,False
America/Chicago,MT,True
America/Chicago,MT,False
America/Chicago,NC,False
America/Chicago,PA,False
America/Chicago,ND,False
America/Chicago,MN,False
America/Chicago,MS,True
America/Chicago,ND,False
America/Chicago,ND,False
America/Chicago,ND,False
America/Chicago,MN,False
America/Chicago,IA,False
America/Chicago,KS,False
America/Chicago,KS,True
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,ND,False
America/Chicago,NJ,False
America/Chicago,TX,False
America/Chicago,NE,False
America/Chicago,NE,False
America/Chicago,KS,False
America/Chicago,OK,False
America/Chicago,FL,False
America/Chicago,PA,False
America/Chicago,MO,False
America/Chicago,MN,False
America/Chicago,NC,False
America/Chicago,VA,False
America/Chicago,MD,False
America/Chicago,MS,False
America/Chicago,KS,False
America/Chicago,KS,False
America/Chicago,NC,False
America/Chicago,CO,False
America/Chicago,CO,True
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,LA,False
America/Chicago,FL,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,TX,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,FL,False
America/Chicago,PA,False
America/Chicago,PA,False
America/Chicago,FL,True
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,TX,False
America/Chicago,OK,False
America/Chicago,OK,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,GA,False
America/Chicago,LA,False
America/Chicago,LA,False
America/Chicago,MS,False
America/Chicago,MS,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,FL,False
America/Chicago,AL,False
America/Chicago,AL,True
America/Chicago,TN,False
America/Chicago,GA,False
America/Chicago,GA,False
America/Chicago,MS,False
America/Chicago,AL,False
America/Chicago,AR,False
America/Chicago,AL,False
America/Chicago,AL,False
America/Chicago,SC,False
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,FL,False
America/Chicago,TX,True
America/Chicago,TX,True
America/Chicago,OK,False
America/Chicago,OK,False
